name,timestamp,value,endpoint,instance,job,namespace,pod,service
process_cpu_seconds_total,1609429468.392,14789.04,http,10.2.125.105:8080,prod-ssl-cookie-v1,ec-business-ssl,prod-ssl-cookie-v1-7b4d5fbbdb-jzlfd,prod-ssl-cookie-v1
process_cpu_seconds_total,1609430068.392,14799.51,http,10.2.125.105:8080,prod-ssl-cookie-v1,ec-business-ssl,prod-ssl-cookie-v1-7b4d5fbbdb-jzlfd,prod-ssl-cookie-v1
process_cpu_seconds_total,1609430668.392,14809.48,http,10.2.125.105:8080,prod-ssl-cookie-v1,ec-business-ssl,prod-ssl-cookie-v1-7b4d5fbbdb-jzlfd,prod-ssl-cookie-v1
process_cpu_seconds_total,1609431268.392,14817.03,http,10.2.125.105:8080,prod-ssl-cookie-v1,ec-business-ssl,prod-ssl-cookie-v1-7b4d5fbbdb-jzlfd,prod-ssl-cookie-v1
process_cpu_seconds_total,1609431868.392,14824.46,http,10.2.125.105:8080,prod-ssl-cookie-v1,ec-business-ssl,prod-ssl-cookie-v1-7b4d5fbbdb-jzlfd,prod-ssl-cookie-v1
process_cpu_seconds_total,1609432468.392,14833.12,http,10.2.125.105:8080,prod-ssl-cookie-v1,ec-business-ssl,prod-ssl-cookie-v1-7b4d5fbbdb-jzlfd,prod-ssl-cookie-v1
process_cpu_seconds_total,1609433068.392,14843.69,http,10.2.125.105:8080,prod-ssl-cookie-v1,ec-business-ssl,prod-ssl-cookie-v1-7b4d5fbbdb-jzlfd,prod-ssl-cookie-v1
process_cpu_seconds_total,1609433668.392,14852.74,http,10.2.125.105:8080,prod-ssl-cookie-v1,ec-business-ssl,prod-ssl-cookie-v1-7b4d5fbbdb-jzlfd,prod-ssl-cookie-v1
process_cpu_seconds_total,1609434268.392,14863.49,http,10.2.125.105:8080,prod-ssl-cookie-v1,ec-business-ssl,prod-ssl-cookie-v1-7b4d5fbbdb-jzlfd,prod-ssl-cookie-v1
process_cpu_seconds_total,1609434868.392,14872.09,http,10.2.125.105:8080,prod-ssl-cookie-v1,ec-business-ssl,prod-ssl-cookie-v1-7b4d5fbbdb-jzlfd,prod-ssl-cookie-v1
process_cpu_seconds_total,1609435468.392,14882.15,http,10.2.125.105:8080,prod-ssl-cookie-v1,ec-business-ssl,prod-ssl-cookie-v1-7b4d5fbbdb-jzlfd,prod-ssl-cookie-v1
process_cpu_seconds_total,1609436068.392,14891,http,10.2.125.105:8080,prod-ssl-cookie-v1,ec-business-ssl,prod-ssl-cookie-v1-7b4d5fbbdb-jzlfd,prod-ssl-cookie-v1
process_cpu_seconds_total,1609436668.392,14899.67,http,10.2.125.105:8080,prod-ssl-cookie-v1,ec-business-ssl,prod-ssl-cookie-v1-7b4d5fbbdb-jzlfd,prod-ssl-cookie-v1
process_cpu_seconds_total,1609437268.392,14907.75,http,10.2.125.105:8080,prod-ssl-cookie-v1,ec-business-ssl,prod-ssl-cookie-v1-7b4d5fbbdb-jzlfd,prod-ssl-cookie-v1
process_cpu_seconds_total,1609437868.392,14914,http,10.2.125.105:8080,prod-ssl-cookie-v1,ec-business-ssl,prod-ssl-cookie-v1-7b4d5fbbdb-jzlfd,prod-ssl-cookie-v1
process_cpu_seconds_total,1609438468.392,14921.19,http,10.2.125.105:8080,prod-ssl-cookie-v1,ec-business-ssl,prod-ssl-cookie-v1-7b4d5fbbdb-jzlfd,prod-ssl-cookie-v1
process_cpu_seconds_total,1609439068.392,14928.51,http,10.2.125.105:8080,prod-ssl-cookie-v1,ec-business-ssl,prod-ssl-cookie-v1-7b4d5fbbdb-jzlfd,prod-ssl-cookie-v1
process_cpu_seconds_total,1609439668.392,14938.54,http,10.2.125.105:8080,prod-ssl-cookie-v1,ec-business-ssl,prod-ssl-cookie-v1-7b4d5fbbdb-jzlfd,prod-ssl-cookie-v1
process_cpu_seconds_total,1609440268.392,14946.16,http,10.2.125.105:8080,prod-ssl-cookie-v1,ec-business-ssl,prod-ssl-cookie-v1-7b4d5fbbdb-jzlfd,prod-ssl-cookie-v1
process_cpu_seconds_total,1609440868.392,14953.75,http,10.2.125.105:8080,prod-ssl-cookie-v1,ec-business-ssl,prod-ssl-cookie-v1-7b4d5fbbdb-jzlfd,prod-ssl-cookie-v1
process_cpu_seconds_total,1609441468.392,14963.85,http,10.2.125.105:8080,prod-ssl-cookie-v1,ec-business-ssl,prod-ssl-cookie-v1-7b4d5fbbdb-jzlfd,prod-ssl-cookie-v1
process_cpu_seconds_total,1609442068.392,14972.77,http,10.2.125.105:8080,prod-ssl-cookie-v1,ec-business-ssl,prod-ssl-cookie-v1-7b4d5fbbdb-jzlfd,prod-ssl-cookie-v1
process_cpu_seconds_total,1609442668.392,14983.47,http,10.2.125.105:8080,prod-ssl-cookie-v1,ec-business-ssl,prod-ssl-cookie-v1-7b4d5fbbdb-jzlfd,prod-ssl-cookie-v1
process_cpu_seconds_total,1609443268.392,14993.67,http,10.2.125.105:8080,prod-ssl-cookie-v1,ec-business-ssl,prod-ssl-cookie-v1-7b4d5fbbdb-jzlfd,prod-ssl-cookie-v1
process_cpu_seconds_total,1609443868.392,15002.33,http,10.2.125.105:8080,prod-ssl-cookie-v1,ec-business-ssl,prod-ssl-cookie-v1-7b4d5fbbdb-jzlfd,prod-ssl-cookie-v1
process_cpu_seconds_total,1609444468.392,15009.28,http,10.2.125.105:8080,prod-ssl-cookie-v1,ec-business-ssl,prod-ssl-cookie-v1-7b4d5fbbdb-jzlfd,prod-ssl-cookie-v1
process_cpu_seconds_total,1609445068.392,15017.88,http,10.2.125.105:8080,prod-ssl-cookie-v1,ec-business-ssl,prod-ssl-cookie-v1-7b4d5fbbdb-jzlfd,prod-ssl-cookie-v1
process_cpu_seconds_total,1609445668.392,15024.79,http,10.2.125.105:8080,prod-ssl-cookie-v1,ec-business-ssl,prod-ssl-cookie-v1-7b4d5fbbdb-jzlfd,prod-ssl-cookie-v1
process_cpu_seconds_total,1609446268.392,15034.11,http,10.2.125.105:8080,prod-ssl-cookie-v1,ec-business-ssl,prod-ssl-cookie-v1-7b4d5fbbdb-jzlfd,prod-ssl-cookie-v1
process_cpu_seconds_total,1609446868.392,15044.15,http,10.2.125.105:8080,prod-ssl-cookie-v1,ec-business-ssl,prod-ssl-cookie-v1-7b4d5fbbdb-jzlfd,prod-ssl-cookie-v1
process_cpu_seconds_total,1609447468.392,15056.86,http,10.2.125.105:8080,prod-ssl-cookie-v1,ec-business-ssl,prod-ssl-cookie-v1-7b4d5fbbdb-jzlfd,prod-ssl-cookie-v1
process_cpu_seconds_total,1609448068.392,15069.09,http,10.2.125.105:8080,prod-ssl-cookie-v1,ec-business-ssl,prod-ssl-cookie-v1-7b4d5fbbdb-jzlfd,prod-ssl-cookie-v1
process_cpu_seconds_total,1609448668.392,15081.24,http,10.2.125.105:8080,prod-ssl-cookie-v1,ec-business-ssl,prod-ssl-cookie-v1-7b4d5fbbdb-jzlfd,prod-ssl-cookie-v1
process_cpu_seconds_total,1609449268.392,15091.69,http,10.2.125.105:8080,prod-ssl-cookie-v1,ec-business-ssl,prod-ssl-cookie-v1-7b4d5fbbdb-jzlfd,prod-ssl-cookie-v1
process_cpu_seconds_total,1609449868.392,15103.03,http,10.2.125.105:8080,prod-ssl-cookie-v1,ec-business-ssl,prod-ssl-cookie-v1-7b4d5fbbdb-jzlfd,prod-ssl-cookie-v1
